  x,y,z,rho,u,v,w,p
     0.136340,      0.863409,      0.000000,      0.709128,    322.687256,     -0.343990,      0.000000,  50934.109375
     0.167640,      0.863719,      0.000000,      0.709211,    323.235016,      0.612034,      0.000000,  50922.527344
     0.202080,      0.864049,      0.000000,      0.708534,    324.205292,      1.468647,      0.000000,  50807.957031
     0.239950,      0.864429,      0.000000,      0.707785,    325.549866,      2.020723,      0.000000,  50642.984375
     0.281620,      0.864829,      0.000000,      0.707401,    326.581268,      2.256787,      0.000000,  50525.921875
    -0.868966,     -0.239970,      0.000000,      0.752024,      0.205232,    310.088379,      0.000000,  54442.859375
    -0.868966,     -0.202090,      0.000000,      0.752232,      0.312684,    310.039429,      0.000000,  54463.996094
    -0.868966,     -0.167650,      0.000000,      0.752607,      0.493724,    309.949036,      0.000000,  54502.023438
    -0.868966,     -0.136340,      0.000000,      0.753083,      0.731819,    309.836304,      0.000000,  54550.367188
    -0.868966,     -0.107880,      0.000000,      0.753603,      1.063863,    309.727844,      0.000000,  54603.222656
    -0.868966,     -0.082010,      0.000000,      0.754092,      1.537819,    309.657501,      0.000000,  54653.039062
    -0.868966,     -0.058490,      0.000000,      0.754455,      2.211025,    309.665985,      0.000000,  54690.070312
    -0.868966,     -0.037110,      0.000000,      0.754570,      3.150739,    309.798889,      0.000000,  54702.285156
    -0.868966,     -0.017670,      0.000000,      0.754309,      4.441224,    310.101074,      0.000000,  54676.648438
    -0.868966,      0.000000,      0.000000,      0.753548,      6.224259,    310.613159,      0.000000,  54600.984375
    -0.868802,      0.017062,      0.000000,      0.752185,      8.689116,    311.349243,      0.000000,  54465.714844
    -0.868294,      0.034117,      0.000000,      0.750191,     11.983095,    312.265991,      0.000000,  54268.296875
    -0.867458,      0.051159,      0.000000,      0.747648,     16.170246,    313.259308,      0.000000,  54017.867188
    -0.866285,      0.068180,      0.000000,      0.744752,     21.228796,    314.189362,      0.000000,  53734.335938
