  525,      0.002257,      0.000719,      0.000871,      0.009398
  530,      0.002242,      0.000714,      0.000869,      0.009245
  535,      0.002231,      0.000709,      0.000868,      0.009143
  540,      0.002223,      0.000703,      0.000866,      0.009103
  545,      0.002225,      0.000698,      0.000866,      0.009109
  550,      0.002229,      0.000693,      0.000865,      0.009139
  555,      0.002236,      0.000688,      0.000864,      0.009176
  560,      0.002243,      0.000684,      0.000864,      0.009213
  565,      0.002251,      0.000679,      0.000863,      0.009247
  570,      0.002261,      0.000675,      0.000863,      0.009278
  575,      0.002272,      0.000670,      0.000863,      0.009305
  580,      0.002283,      0.000665,      0.000863,      0.009331
  585,      0.002293,      0.000660,      0.000863,      0.009357
  590,      0.002303,      0.000654,      0.000864,      0.009390
  595,      0.002313,      0.000646,      0.000864,      0.009435
  600,      0.002323,      0.000638,      0.000864,      0.009500
  605,      0.002335,      0.000630,      0.000863,      0.009586
  610,      0.002351,      0.000621,      0.000862,      0.009670
  615,      0.002366,      0.000611,      0.000860,      0.009744
  620,      0.002379,      0.000603,      0.000857,      0.009807
  625,      0.002390,      0.000595,      0.000855,      0.009860
  630,      0.002397,      0.000588,      0.000852,      0.009903
  635,      0.002401,      0.000583,      0.000849,      0.009932
  640,      0.002400,      0.000578,      0.000848,      0.009944
  645,      0.002394,      0.000574,      0.000848,      0.009936
  650,      0.002382,      0.000571,      0.000850,      0.009906
  655,      0.002365,      0.000568,      0.000853,      0.009851
  660,      0.002341,      0.000564,      0.000856,      0.009771
  665,      0.002314,      0.000560,      0.000860,      0.009665
  670,      0.002281,      0.000556,      0.000862,      0.009538
  675,      0.002245,      0.000552,      0.000865,      0.009396
  680,      0.002205,      0.000548,      0.000866,      0.009243
  685,      0.002164,      0.000545,      0.000865,      0.009079
  690,      0.002122,      0.000543,      0.000864,      0.008906
  695,      0.002082,      0.000540,      0.000861,      0.008728
  700,      0.002048,      0.000537,      0.000857,      0.008553
  705,      0.002021,      0.000535,      0.000851,      0.008391
  710,      0.002002,      0.000533,      0.000845,      0.008280
  715,      0.001995,      0.000531,      0.000838,      0.008241
  720,      0.001994,      0.000530,      0.000830,      0.008244
  725,      0.001996,      0.000528,      0.000823,      0.008276
  730,      0.001999,      0.000526,      0.000815,      0.008329
  735,      0.002001,      0.000524,      0.000807,      0.008388
  740,      0.002001,      0.000522,      0.000800,      0.008441
  745,      0.001999,      0.000520,      0.000793,      0.008476
  750,      0.001994,      0.000518,      0.000786,      0.008489
  755,      0.001985,      0.000517,      0.000779,      0.008477
  760,      0.001972,      0.000515,      0.000773,      0.008440
  765,      0.001956,      0.000514,      0.000767,      0.008380
  770,      0.001935,      0.000512,      0.000761,      0.008299
  775,      0.001912,      0.000512,      0.000756,      0.008202
  780,      0.001887,      0.000511,      0.000751,      0.008093
  785,      0.001861,      0.000510,      0.000747,      0.007975
  790,      0.001835,      0.000509,      0.000742,      0.007853
  795,      0.001810,      0.000508,      0.000739,      0.007728
  800,      0.001786,      0.000507,      0.000736,      0.007603
  805,      0.001763,      0.000505,      0.000732,      0.007481
  810,      0.001741,      0.000503,      0.000729,      0.007365
  815,      0.001720,      0.000500,      0.000724,      0.007259
  820,      0.001701,      0.000498,      0.000720,      0.007168
  825,      0.001684,      0.000495,      0.000715,      0.007094
  830,      0.001670,      0.000491,      0.000709,      0.007032
  835,      0.001658,      0.000487,      0.000703,      0.006983
